Date,High ,Low,Open,Close,Volume
6/25/2020,1.125,1.12597,1.11903,1.12179,240794
6/26/2020,1.12179,1.12393,1.11951,1.1217,162429
6/28/2020,1.12149,1.1228,1.12149,1.12219,5283
6/29/2020,1.12219,1.12879,1.12193,1.12467,181086
6/30/2020,1.12466,1.12619,1.1191,1.12335,194390
7/1/2020,1.12336,1.12751,1.11848,1.12511,189149
7/2/2020,1.12511,1.13026,1.12233,1.12372,183478
7/3/2020,1.12373,1.12518,1.12192,1.12464,140506
7/5/2020,1.12433,1.12494,1.12411,1.12466,2530
7/6/2020,1.12467,1.13454,1.12467,1.13123,145701
7/7/2020,1.13123,1.13325,1.12588,1.12744,162692
7/8/2020,1.12745,1.13518,1.12623,1.13372,163848
7/9/2020,1.13372,1.13706,1.12801,1.12879,195462
7/10/2020,1.12881,1.13247,1.12547,1.1299,178152
7/12/2020,1.13039,1.13173,1.13026,1.13085,5808
7/13/2020,1.13086,1.13748,1.13008,1.13447,248161
7/14/2020,1.13447,1.14123,1.13251,1.14099,354215
7/15/2020,1.141,1.1452,1.1391,1.14168,303174
7/16/2020,1.14168,1.14417,1.13704,1.13878,293650
7/17/2020,1.13877,1.14436,1.13774,1.14269,168995
7/19/2020,1.14084,1.14456,1.14084,1.14421,7686
7/20/2020,1.14421,1.14677,1.14023,1.14557,284685
7/21/2020,1.14559,1.15423,1.14228,1.1535,385754
7/22/2020,1.1535,1.16013,1.15068,1.15646,468593
7/23/2020,1.15647,1.16268,1.15403,1.15952,357357
7/24/2020,1.15953,1.1658,1.15812,1.16546,407292
7/26/2020,1.1643,1.16555,1.16413,1.16495,16073
7/27/2020,1.16496,1.17813,1.16494,1.17682,338708
7/28/2020,1.17681,1.17736,1.16987,1.17185,336540
7/29/2020,1.17185,1.18061,1.17139,1.17806,341913
7/30/2020,1.17809,1.18762,1.17308,1.18719,354848
7/31/2020,1.18718,1.19087,1.17617,1.17753,553540
8/2/2020,1.17725,1.17966,1.17717,1.1781,7704
8/3/2020,1.17809,1.17887,1.16959,1.17603,312768
8/4/2020,1.17603,1.18148,1.17211,1.18136,449655
8/5/2020,1.18135,1.19048,1.17992,1.1872,1039928
8/6/2020,1.18721,1.1916,1.18179,1.18752,1280282
8/7/2020,1.18753,1.18818,1.17551,1.17862,430363
8/9/2020,1.17886,1.17896,1.17732,1.1781,7017
8/10/2020,1.1781,1.18006,1.17357,1.1736,299076
8/11/2020,1.1736,1.1808,1.17219,1.17347,587901
8/12/2020,1.17348,1.1817,1.1711,1.17939,617140
8/13/2020,1.17939,1.18641,1.17934,1.18155,453065
8/14/2020,1.18153,1.18503,1.17817,1.18414,329638
8/16/2020,1.18389,1.18528,1.18324,1.18518,3812
